,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
1047,0.667,0.999,1,-4.375,0,0.0828,0.0726,4.15e-05,0.238,0.566,149.875,audio_features,09uma8kvpf699ailOSlzds,spotify:track:09uma8kvpf699ailOSlzds,https://api.spotify.com/v1/tracks/09uma8kvpf699ailOSlzds,https://api.spotify.com/v1/audio-analysis/09uma8kvpf699ailOSlzds,248533,4
1048,0.516,0.714,11,-7.124,1,0.0379,0.000457,0.0226,0.397,0.719,156.041,audio_features,2N2vT7prULYdnOeqA0XBDy,spotify:track:2N2vT7prULYdnOeqA0XBDy,https://api.spotify.com/v1/tracks/2N2vT7prULYdnOeqA0XBDy,https://api.spotify.com/v1/audio-analysis/2N2vT7prULYdnOeqA0XBDy,255693,4
1049,0.742,0.584,8,-7.482,1,0.0484,0.00156,6.74e-05,0.584,0.364,129.989,audio_features,6nw6HDH049R7j7JArouHn3,spotify:track:6nw6HDH049R7j7JArouHn3,https://api.spotify.com/v1/tracks/6nw6HDH049R7j7JArouHn3,https://api.spotify.com/v1/audio-analysis/6nw6HDH049R7j7JArouHn3,248627,4
1050,0.754,0.846,3,-4.388,1,0.169,0.114,0.0,0.0689,0.712,95.002,audio_features,7L83K0Py6AOVBeGdFeghGr,spotify:track:7L83K0Py6AOVBeGdFeghGr,https://api.spotify.com/v1/tracks/7L83K0Py6AOVBeGdFeghGr,https://api.spotify.com/v1/audio-analysis/7L83K0Py6AOVBeGdFeghGr,210453,4
1051,0.725,0.784,5,-4.674,0,0.123,0.0143,5.97e-06,0.297,0.69,139.986,audio_features,5Mm4oeVBGi4iwwqFlZcQS0,spotify:track:5Mm4oeVBGi4iwwqFlZcQS0,https://api.spotify.com/v1/tracks/5Mm4oeVBGi4iwwqFlZcQS0,https://api.spotify.com/v1/audio-analysis/5Mm4oeVBGi4iwwqFlZcQS0,220000,4
1052,0.679,0.866,0,-3.86,0,0.0889,0.0984,0.0,0.139,0.75,127.966,audio_features,3UVRi8xiuMb0MtFIbemaAn,spotify:track:3UVRi8xiuMb0MtFIbemaAn,https://api.spotify.com/v1/tracks/3UVRi8xiuMb0MtFIbemaAn,https://api.spotify.com/v1/audio-analysis/3UVRi8xiuMb0MtFIbemaAn,213707,4
1053,0.771,0.831,4,-5.642,1,0.0709,0.0356,3.55e-05,0.163,0.585,127.87,audio_features,2e7mE0ZJkWlxj7BuOqKdgd,spotify:track:2e7mE0ZJkWlxj7BuOqKdgd,https://api.spotify.com/v1/tracks/2e7mE0ZJkWlxj7BuOqKdgd,https://api.spotify.com/v1/audio-analysis/2e7mE0ZJkWlxj7BuOqKdgd,186503,4
1054,0.566,0.916,6,-8.076,0,0.0402,0.00724,0.659,0.25,0.869,120.19,audio_features,6ztuJGgOU21itua35jvwlt,spotify:track:6ztuJGgOU21itua35jvwlt,https://api.spotify.com/v1/tracks/6ztuJGgOU21itua35jvwlt,https://api.spotify.com/v1/audio-analysis/6ztuJGgOU21itua35jvwlt,169507,4
1055,0.777,0.758,0,-4.504,0,0.141,0.182,0.0,0.139,0.913,109.991,audio_features,0gMmSBiajjt56RYpOhYkOh,spotify:track:0gMmSBiajjt56RYpOhYkOh,https://api.spotify.com/v1/tracks/0gMmSBiajjt56RYpOhYkOh,https://api.spotify.com/v1/audio-analysis/0gMmSBiajjt56RYpOhYkOh,202582,4
1056,0.827,0.801,5,-5.106,1,0.0686,0.0713,0.0,0.0873,0.655,127.992,audio_features,6OmLK1wyUwf3v48rD8kVdZ,spotify:track:6OmLK1wyUwf3v48rD8kVdZ,https://api.spotify.com/v1/tracks/6OmLK1wyUwf3v48rD8kVdZ,https://api.spotify.com/v1/audio-analysis/6OmLK1wyUwf3v48rD8kVdZ,201627,4
1057,0.703,0.867,6,-4.292,1,0.0453,0.107,0.0,0.119,0.546,128.008,audio_features,5HOpkTTVcmZHnthgyxrIL8,spotify:track:5HOpkTTVcmZHnthgyxrIL8,https://api.spotify.com/v1/tracks/5HOpkTTVcmZHnthgyxrIL8,https://api.spotify.com/v1/audio-analysis/5HOpkTTVcmZHnthgyxrIL8,213708,4
1058,0.787,0.73,11,-6.788,0,0.35,0.0276,0.00157,0.0828,0.739,159.825,audio_features,3ZAMtgYJFoHwJjFkhkXqKr,spotify:track:3ZAMtgYJFoHwJjFkhkXqKr,https://api.spotify.com/v1/tracks/3ZAMtgYJFoHwJjFkhkXqKr,https://api.spotify.com/v1/audio-analysis/3ZAMtgYJFoHwJjFkhkXqKr,220293,4
1059,0.637,0.904,5,-5.378,0,0.0422,0.00041,0.762,0.135,0.343,128.007,audio_features,2w6M0lfuDVB5eWxm5L3rnC,spotify:track:2w6M0lfuDVB5eWxm5L3rnC,https://api.spotify.com/v1/tracks/2w6M0lfuDVB5eWxm5L3rnC,https://api.spotify.com/v1/audio-analysis/2w6M0lfuDVB5eWxm5L3rnC,190430,4
1060,0.68,0.687,9,-6.162,0,0.0709,0.0161,0.0,0.261,0.467,150.053,audio_features,1IAzD1muglOxOcPbUHs70R,spotify:track:1IAzD1muglOxOcPbUHs70R,https://api.spotify.com/v1/tracks/1IAzD1muglOxOcPbUHs70R,https://api.spotify.com/v1/audio-analysis/1IAzD1muglOxOcPbUHs70R,249533,4
1061,0.545,0.781,10,-3.616,1,0.185,0.0139,0.0,0.161,0.277,150.097,audio_features,12PNcnMsjsZ3eHm62t8hiy,spotify:track:12PNcnMsjsZ3eHm62t8hiy,https://api.spotify.com/v1/tracks/12PNcnMsjsZ3eHm62t8hiy,https://api.spotify.com/v1/audio-analysis/12PNcnMsjsZ3eHm62t8hiy,232507,4
1062,0.757,0.885,7,-5.109,0,0.146,0.000921,0.919,0.0484,0.258,128.009,audio_features,1veUmGGbybG3EssyrtYq09,spotify:track:1veUmGGbybG3EssyrtYq09,https://api.spotify.com/v1/tracks/1veUmGGbybG3EssyrtYq09,https://api.spotify.com/v1/audio-analysis/1veUmGGbybG3EssyrtYq09,225000,4
1063,0.375,0.862,11,-3.363,0,0.255,0.071,0.0,0.211,0.478,159.841,audio_features,3jlbL2OTD5YmIunYzgQTAN,spotify:track:3jlbL2OTD5YmIunYzgQTAN,https://api.spotify.com/v1/tracks/3jlbL2OTD5YmIunYzgQTAN,https://api.spotify.com/v1/audio-analysis/3jlbL2OTD5YmIunYzgQTAN,338853,4
1064,0.587,0.976,5,-4.05,0,0.0553,0.0109,0.944,0.127,0.211,149.956,audio_features,1oXbE3elnTejnTHIJbH3xj,spotify:track:1oXbE3elnTejnTHIJbH3xj,https://api.spotify.com/v1/tracks/1oXbE3elnTejnTHIJbH3xj,https://api.spotify.com/v1/audio-analysis/1oXbE3elnTejnTHIJbH3xj,247467,4
1065,0.853,0.693,1,-6.87,1,0.275,0.0239,0.0,0.11,0.662,95.967,audio_features,4X5f3vT8MRuXF68pfjNte5,spotify:track:4X5f3vT8MRuXF68pfjNte5,https://api.spotify.com/v1/tracks/4X5f3vT8MRuXF68pfjNte5,https://api.spotify.com/v1/audio-analysis/4X5f3vT8MRuXF68pfjNte5,233787,4
1066,0.551,0.928,4,-4.076,0,0.0749,0.0135,0.405,0.383,0.115,127.969,audio_features,1MB60Ingbxmdukc2wq8b2G,spotify:track:1MB60Ingbxmdukc2wq8b2G,https://api.spotify.com/v1/tracks/1MB60Ingbxmdukc2wq8b2G,https://api.spotify.com/v1/audio-analysis/1MB60Ingbxmdukc2wq8b2G,178125,4
1067,0.528,0.563,3,-6.077,0,0.0318,0.0625,0.0,0.305,0.197,125.999,audio_features,5s2Ck1iBxZ1eP3WMT5Ie8r,spotify:track:5s2Ck1iBxZ1eP3WMT5Ie8r,https://api.spotify.com/v1/tracks/5s2Ck1iBxZ1eP3WMT5Ie8r,https://api.spotify.com/v1/audio-analysis/5s2Ck1iBxZ1eP3WMT5Ie8r,200791,4
1068,0.64,0.62,1,-5.931,1,0.416,0.016,0.0,0.0831,0.609,129.37,audio_features,0k6HUzaRHpQ3eEWr1C7Esh,spotify:track:0k6HUzaRHpQ3eEWr1C7Esh,https://api.spotify.com/v1/tracks/0k6HUzaRHpQ3eEWr1C7Esh,https://api.spotify.com/v1/audio-analysis/0k6HUzaRHpQ3eEWr1C7Esh,252653,5
1069,0.662,0.586,0,-8.821,1,0.0307,0.097,0.00272,0.115,0.296,90.0,audio_features,2rizacJSyD9S1IQUxUxnsK,spotify:track:2rizacJSyD9S1IQUxUxnsK,https://api.spotify.com/v1/tracks/2rizacJSyD9S1IQUxUxnsK,https://api.spotify.com/v1/audio-analysis/2rizacJSyD9S1IQUxUxnsK,194080,4
1070,0.5,0.612,5,-7.099,1,0.0348,0.123,2.12e-05,0.195,0.428,94.974,audio_features,7lC09YRV5SQOjyziTt53HG,spotify:track:7lC09YRV5SQOjyziTt53HG,https://api.spotify.com/v1/tracks/7lC09YRV5SQOjyziTt53HG,https://api.spotify.com/v1/audio-analysis/7lC09YRV5SQOjyziTt53HG,206256,4
1071,0.694,0.939,11,-2.225,0,0.0601,0.142,0.0,0.369,0.848,132.991,audio_features,7gp7td7ibvNr94JW1VIQiW,spotify:track:7gp7td7ibvNr94JW1VIQiW,https://api.spotify.com/v1/tracks/7gp7td7ibvNr94JW1VIQiW,https://api.spotify.com/v1/audio-analysis/7gp7td7ibvNr94JW1VIQiW,222680,4
